id,category,name,description,instagram,logo_url,members,tiktok,Callink Page,LEAD Center Advisor,reach out,photo path
222008,2,3D Modeling and Animation at Berkeley,"We are a student organization dedicated to education, research, and creation in fields encompassing, and related to, the production of 3D animation. We provide a group for students who are interested in working in the 3D animation or related industries, researching in relevant fields, or simply for students who are interested in learning about the topic. To facilitate a healthy ecosystem of support, we run a DeCal class called UCBUGG: 3D Modeling & Animation (http://www.ucbugg.com). We also host guest lectures related to the topic of 3D Modeling & Animation, to help students pursue their career and self-learning goals.",,,,,https://callink.berkeley.edu/organization/3D-Modeling-and-Animation-at-Berkeley,LEAD Center Category: Technology RSO,"To join, just hop on our Discord (https://discord.gg/ZUFgDry) and follow us on social media.",sample_data/logo 3D Modeling and Animation at Berkeley.jpg
378040,3,AAPI (Asian African Pacific Islander) Affinity Group,,,no logo,,,https://callink.berkeley.edu/organization/AAPIAffinityGroup,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,To be completed by student leader upon registration,no logo
91428,1,ABA,"Founded in 1975, Berkeley ABA is a consulting organization with 5 teams: Business Development, Finance, Marketing, Non-Profit Organization, and Strategy. Our founders set out to provide a bridge between the professional world and the students of the UC Berkeley campus. Over the course of 45+ years of history, ABA has expanded its mission and now represents many diverse majors and cultures:",,https://se-images.campuslabs.com/clink/images/fd80d6dc-0890-4c90-927a-0d671b24f6df9719695c-f732-4fea-b760-0999a9994cc4.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/aba,LEAD Center Category: Professional RSO,Please check out berkeley-aba.com/apply to find all the information regarding our recruitment process. We encourage you to send any questions you might have to abapresident.berkeley@gmail.com!,sample_data/logo ABA.jpg
376121,1,Aerospace at Haas,,,no logo,,,https://callink.berkeley.edu/organization/AerospaceAtHaas,LEAD Center Category: Professional RSO,To be completed by student leader upon registration,no logo
92082,2,Aerospace SAE,"We spend each year designing, manufacturing, testing, and flying aircraft in preparation for the SAE International Aero Design West competition each Spring. We teach our team the necessary analysis, design, and manufacturing skills necessary for not only the construction of an aircraft, but for the foundations of a career in the broader field of engineering.",,https://se-images.campuslabs.com/clink/images/c319359b-e578-475c-9bb0-3643137ad5a0e2203013-471c-4478-bb78-f659cddfd2f9.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/asae,LEAD Center Category: Technology RSO,"More information about recruitment, application and the club can be found in our website(http://asae.berkeley.edu/) or by emailing us (calasae@gmail.com).",sample_data/logo Aerospace SAE.jpg
46372,3,Afghan Student Association,,,https://se-images.campuslabs.com/clink/images/7a74fbbb-e424-44ff-95d7-469a5c9addb12d85f9bf-9339-4489-819d-a6a0f8491bf2.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/afghans,LEAD Center Category: Cultural & Identity/International RSO,Find us on our Facebook and Instagram! IG: @calasa_,sample_data/logo Afghan Student Association.jpg
46086,3,African Maghreb Student Union,"The organization would be a center to host cultural events, serve as a safe space for students of this minority Maghreb background on campus, and foster academically-relevant conversations between these students.",,https://se-images.campuslabs.com/clink/images/8f5c0fec-6175-4ba4-bac4-aad5dec43ed6774bfe0c-798c-4168-8d87-febb1c01fdf4.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/AfricanMaghrebStudentUnion,LEAD Center Category: Cultural & Identity/International RSO,"Everyone is encouraged to join and participate. Elections for most leadership positions will take place every semester, excluding President and VP which take place every year. To get more information, follow us on instagram @amsu_cal and use the link in the bio to join our oragnizations WhatsApp group.",sample_data/logo African Maghreb Student Union.jpg
289776,1,Alianza Latine for Public Health Action,"Alianza Latine for Public Health Action (ALPHA) aims to create a space to empower Latine students in the School of Public Health at UC Berkeley, including first-generation students. ALPHA will serve as a platform for community-building and professional development to cultivate Latine leaders in public health. Our vision is to uplift unique Latine perspectives and experiences, create a strong professional network and contribute to a diverse public health community. ",,https://se-images.campuslabs.com/clink/images/d4ba0069-8a3a-4be4-a90b-54587acca53755432e4c-51ab-4e9d-8d7d-4d760d2dcd8f.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/AlianzaLatineforPublicHealthAction,LEAD Center Category: Professional RSO,Feel free to email us at alianza.grads@berkeley.edu to find out when our next meeting will be held.,sample_data/logo Alianza Latine for Public Health Action.jpg
45858,1,American Advertising Federation,"Better known as imagiCal, we are UC Berkeley’s award-winning creative strategy agency. Established in 1980, imagiCal is a Haas-sponsored organization, serving as Berkeley's chapter of the American Advertising Federation.",,https://se-images.campuslabs.com/clink/images/d23a1223-0354-4348-afb0-06e54e9ae0ea7f51dbe2-4841-4f58-b262-67af19065652.png?preset=med-sq,,,https://callink.berkeley.edu/organization/americanadvertisingfederationimagical,LEAD Center Category: Professional RSO,https://www.imagical.club/,sample_data/logo American Advertising Federation.jpg
158433,1,American Chemical Society at Berkeley Student Chapter,"ACS at Berkeley is the student chapter of the American Chemical Society here at Berkeley. We provide academic and professional resources for chemistry, chemical engineering, and chemical biology students through info-sessions, workshops, panels, talks, networking events, and mentoring/advising. In addition, we also promote chemistry throughout our local community through our education and outreach efforts at local schools. Through these efforts, we hope to offer a network and community for students interested in chemistry and related fields.",,https://se-images.campuslabs.com/clink/images/a3a8bcdf-54fd-4231-ac07-597bdbf3602aad404173-518c-4058-943e-2d5e0181f578.png?preset=med-sq,,,https://callink.berkeley.edu/organization/acsberkeley,LEAD Center Category: Professional RSO,"Please view our ""Recruitment"" tab on our website to learn more about how to get involved: https://acs.berkeley.edu/recruitment/",sample_data/logo American Chemical Society at Berkeley Student Chapter.jpg
